vin;model;price;date_start;status                                                                                                                                                                      
8TBKH5D07EJ618595;109;3709.77;2020-07-25;sold                                                                                                                                                          
8ENWG1U39ZL705839;449;2770.03;2021-11-12;available                                                                                                                                                     
5BGKT9V59TO502050;41;3475.48;2021-08-15;reserve                                                                                                                                                        
6KTGF8O07XT221284;159;3245.41;2024-01-10;reserve                                                                                                                                                       
1UIWB2U93ZV611943;342;2787.83;2020-11-09;available                                                                                                                                                     
3GQLJ0K47PF395885;80;2500.38;2021-10-12;delivery                                                                                                                                                       
1RKOR4I99VE737453;195;3622.1;2023-06-09;sold                                                                                                                                                           
2LJXB0P56LV749783;259;2282.14;2021-04-28;delivery                                                                                                                                                      
7PQSS3Y48EN967028;162;2024.89;2023-01-03;available                                                                                                                                                     
1DQNG0S08SB620261;57;3011.2;2020-12-15;delivery                                                                                                                                                        
8QVJF6V27VN029698;352;2145.95;2024-06-05;available                                                                                                                                                     
1NZLF8K02YR707038;70;3837.63;2020-04-04;delivery                                                                                                                                                       
7ABRH2Y32OK967100;114;3076.23;2023-04-13;sold                                                                                                                                                          
9MTBU9O56PK970436;186;3966.46;2022-06-06;delivery                                                                                                                                                      
2QHXG6I25FU103854;463;3623.89;2023-04-02;reserve                                                                                                                                                       
9HDWJ5F64CL104451;317;3540.7;2023-06-17;sold                                                                                                                                                           
5PJWO1H53BA713987;215;3683.66;2022-03-27;delivery                                                                                                                                                      
6VTFE7X87PU702791;438;2634.88;2021-03-10;delivery                                                                                                                                                      
6RSST9I73FE442564;481;3704.56;2020-01-14;sold                                                                                                                                                          
0OZVJ1F72OX201698;50;3120.63;2024-01-12;delivery                                                                                                                                                       
9TWIC1D52HL293501;44;2847.91;2022-03-03;sold                                                                                                                                                           
9ZHQU3V65UW766098;155;3317.03;2021-04-27;delivery                                                                                                                                                      
3EBPH0K51MI985107;119;2884.01;2024-01-20;delivery                                                                                                                                                      
1SOIY9M18CO501383;192;3055.26;2021-06-24;delivery                                                                                                                                                      
7GZJG8B08PV384456;487;3126.14;2020-06-15;sold                                                                                                                                                          
3NGWU3E15UB104407;386;3080.57;2021-08-19;reserve                                                                                                                                                       
4FSMH7S63UG131535;13;3704.44;2023-07-14;available                                                                                                                                                      
5ABTZ0C24OV879368;116;2071.82;2024-03-24;reserve                                                                                                                                                       
9BTAH7D82CT748098;388;2683.95;2022-10-22;delivery                                                                                                                                                      
6CEKN3Z57NC099638;452;3130.57;2023-08-03;available                                                                                                                                                     
4AZXI7P12QP420573;2;2026.04;2023-01-25;reserve                                                                                                                                                         
6PBNK4H25JD305130;213;2863.28;2020-09-15;delivery                                                                                                                                                      
6WGFY4R67YF340683;195;2752.72;2023-04-07;available                                                                                                                                                     
9XLGV4W68JE388417;13;3330.88;2020-07-17;available                                                                                                                                                      
2OAXD2Z30FK541523;18;3475.07;2023-12-08;available                                                                                                                                                      
3FPYG2B46TB209125;245;2369.63;2021-11-28;sold                                                                                                                                                          
0IUUR2O52CC764079;258;3307.79;2023-05-12;available                                                                                                                                                     
9EYZJ0R67JW408859;218;3666.4;2023-06-27;sold                                                                                                                                                           
2ZWTD1J26GP074284;226;2499.2;2022-06-18;sold                                                                                                                                                           
9JPWS3Z98AM122657;406;3343.05;2024-06-29;sold                                                                                                                                                          
9SAPQ5L57PS013517;166;2064.99;2024-02-16;available                                                                                                                                                     
8YXZO3H18TE218464;37;2612.07;2023-01-05;reserve                                                                                                                                                        
8ZNVZ5M60BE009837;227;2651.07;2024-07-13;available                                                                                                                                                     
7IXEX6F59KW751610;382;2682.99;2023-01-18;sold                                                                                                                                                          
0TLIQ2F82CB200887;471;3592.24;2023-04-08;sold                                                                                                                                                          
7BTCO1P68SJ646490;400;2603.44;2024-02-21;delivery                                                                                                                                                      
5OESD7H65VV732514;238;3446.08;2023-11-11;reserve                                                                                                                                                       
6BSLJ5I38EG591152;20;2620.05;2024-07-18;available                                                                                                                                                      
4LFTB8Q92EH319372;184;2926.39;2020-10-16;available                                                                                                                                                     
1CMOC2T95PZ474131;393;2000.15;2021-05-16;delivery                                                                                                                                                      
2SWFW8E35XS759868;356;3669.08;2021-10-29;available                                                                                                                                                     
0AXIS3M40ZH553829;10;2157.3;2023-05-23;available                                                                                                                                                       
2VUPU8N99QI084056;395;3860.34;2021-06-09;available                                                                                                                                                     
6JTVF5G91IR662594;38;2666.53;2022-10-23;available                                                                                                                                                      
3FNMY2J34ZJ937200;434;3402.35;2023-08-19;delivery                                                                                                                                                      
9BEFJ8K65AK969390;185;3802.11;2022-12-21;reserve                                                                                                                                                       
9HOKK1U40NE132384;33;3837.18;2022-07-01;sold                                                                                                                                                           
3MTIS7S60EL738788;40;3542.21;2021-05-28;delivery                                                                                                                                                       
9HAXK9D91TE992697;40;3590.76;2021-07-25;delivery                                                                                                                                                       
3CGQL5F35VR575748;219;2136.1;2024-07-02;sold                                                                                                                                                           
9GDNO9Z19GZ168317;454;3846.09;2021-06-08;reserve                                                                                                                                                       
4SMYQ7Z47YZ673891;115;2832.0;2020-02-28;available                                                                                                                                                      
1OJUD6X61ZR899088;180;2740.66;2024-08-25;available                                                                                                                                                     
8GARE0G59MT042723;162;3505.25;2022-11-17;delivery                                                                                                                                                      
9BBZD7K32RU326317;74;3607.92;2020-10-15;reserve                                                                                                                                                        
9SIVE1K22XJ232541;418;3756.1;2023-08-29;sold                                                                                                                                                           
6NIFJ7N28VA243358;234;2880.27;2023-01-23;delivery                                                                                                                                                      
2FPVR4U58BO689545;433;3075.27;2021-01-20;delivery                                                                                                                                                      
4KLJT4J07ZY987115;187;3871.5;2024-02-24;delivery                                                                                                                                                       
1RKCA6C65JM171660;6;2980.64;2022-05-24;delivery                                                                                                                                                        
3GOAI7B27AC413099;307;2288.84;2020-01-13;available                                                                                                                                                     
6GJPC5Y66XN937485;417;2103.97;2023-07-24;available                                                                                                                                                     
2PJBU4J22JB072212;448;2915.7;2020-09-26;available                                                                                                                                                      
2LUGE5H18PZ002529;149;2395.61;2022-01-30;delivery                                                                                                                                                      
0MJHV7V74IE537585;58;2500.37;2024-08-30;available                                                                                                                                                      
6SJAW8C05NP037112;100;2695.98;2023-08-19;reserve                                                                                                                                                       
8AGST9O67BE492877;326;3903.19;2023-01-18;available                                                                                                                                                     
7ATZF7I87RS193424;230;2802.22;2022-01-03;delivery                                                                                                                                                      
9FBHE6L99BD133640;48;2684.95;2021-12-04;delivery                                                                                                                                                       
9BVWY8G20QC253675;6;2058.07;2020-07-07;sold                                                                                                                                                            
0ARJA2F30PA270707;27;3840.44;2022-11-07;available                                                                                                                                                      
1IJLZ3C56WC899783;130;3669.78;2020-12-05;available                                                                                                                                                     
6ZWNE9A16YW574858;395;3891.91;2022-01-06;reserve                                                                                                                                                       
8DUCH4X14RM427644;420;3618.72;2023-06-18;sold                                                                                                                                                          
7WBKS0T98GQ889159;101;2811.12;2020-05-19;available                                                                                                                                                     
9HQET3W37QJ510516;219;3798.47;2023-10-20;available                                                                                                                                                     
6VOQS6I31AZ088892;187;3906.09;2024-03-07;available                                                                                                                                                     
5TZZZ1K84VK675849;138;2895.65;2024-07-03;available                                                                                                                                                     
