key;index                                                                                                                                                                                              
0AAOK3P76XG415972;11959                                                                                                                                                                                
0AAZJ0U79BL881895;7987                                                                                                                                                                                 
0ABFO3C09YZ649021;10600                                                                                                                                                                                
0ABHC1Q33XK285710;4528                                                                                                                                                                                 
0ABKW5O73GV977855;12151                                                                                                                                                                                
0ABNE0N95TM265568;11812                                                                                                                                                                                
0ABPN2T80QL750920;9706                                                                                                                                                                                 
0ABUV5F09TY550009;3093                                                                                                                                                                                 
0ACHZ8H00CJ415292;11346                                                                                                                                                                                
0ADPL7R57PN710419;5436                                                                                                                                                                                 
0ADYE7H83UM524473;5061                                                                                                                                                                                 
0AEBW9H95UQ419801;6113                                                                                                                                                                                 
0AEVS7H83JG291921;3163                                                                                                                                                                                 
0AFIB2Z78HV323257;9898                                                                                                                                                                                 
0AFTA6C50JG593126;7681                                                                                                                                                                                 
0AGFJ3F61YP312973;9153                                                                                                                                                                                 
0AGFM2L58WQ859120;2055                                                                                                                                                                                 
0AGIY7B72JM882596;1310                                                                                                                                                                                 
0AGJH9U40LQ381100;11121                                                                                                                                                                                
0AHGC1I73WL123481;5589                                                                                                                                                                                 
0AHGX3E51VZ049159;3145                                                                                                                                                                                 
0AHIH0I11ZJ559858;608                                                                                                                                                                                  
0AHSH8V35DO997869;8783                                                                                                                                                                                 
0AHZT7H28FN153109;911                                                                                                                                                                                  
0AIKC6L28AO288831;9439                                                                                                                                                                                 
0AJQW6P11GV632091;11489                                                                                                                                                                                
0AJRR7A19IU420138;1768                                                                                                                                                                                 
0AJZJ7L49AS991018;7474                                                                                                                                                                                 
0AMAK2T67AZ107665;10730                                                                                                                                                                                
0AMJI6D96QM451644;6873                                                                                                                                                                                 
0AMZG4J77LP744389;9520                                                                                                                                                                                 
0AOBS4D87QQ271701;6550                                                                                                                                                                                 
0AOFT0C69DT974851;6862                                                                                                                                                                                 
0AOHV1S55HA558546;5401                                                                                                                                                                                 
0AOOE8I62BP542788;271                                                                                                                                                                                  
0APWI0V56UV764758;1031                                                                                                                                                                                 
0ASJZ8Z83MD986919;8248                                                                                                                                                                                 
0ATEO4J07BL095160;2412                                                                                                                                                                                 
0ATNO3K88CJ549845;61                                                                                                                                                                                   
0ATPD1S97DQ139237;5372                                                                                                                                                                                 
0ATSM5D25RL692494;5699                                                                                                                                                                                 
0ATUY9X18ZP976514;9177                                                                                                                                                                                 
0ATYO6O82EJ581384;2911                                                                                                                                                                                 
0AUAF9B76EJ623046;9541                                                                                                                                                                                 
0AUTN8U37SD571439;3155                                                                                                                                                                                 
