key;index                                                                                                                                                                                              
0AABK3D32NP743038;27135                                                                                                                                                                                
0AAEO2K19BQ597318;30464                                                                                                                                                                                
0AALI1U05YM345336;9466                                                                                                                                                                                 
0AAOK3P76XG415972;47975                                                                                                                                                                                
0AASL3I18CA410982;47285                                                                                                                                                                                
0AAYH6I92PR658328;44895                                                                                                                                                                                
0AAZJ0U79BL881895;32119                                                                                                                                                                                
0ABBB9T17FL486513;10307                                                                                                                                                                                
0ABFO3C09YZ649021;42606                                                                                                                                                                                
0ABHC1Q33XK285710;18317                                                                                                                                                                                
0ABJW9T38OI481738;46135                                                                                                                                                                                
0ABJZ4I14MB867890;49864                                                                                                                                                                                
0ABKW5O73GV977855;48758                                                                                                                                                                                
0ABLX2Z19JS361202;32814                                                                                                                                                                                
0ABNE0N95TM265568;47411                                                                                                                                                                                
0ABPN2T80QL750920;39021                                                                                                                                                                                
0ABRG3M85HV049181;41787                                                                                                                                                                                
0ABSE6K55DS940006;26963                                                                                                                                                                                
0ABUC4A43XB701399;34280                                                                                                                                                                                
0ABUV5F09TY550009;12616                                                                                                                                                                                
0ACBA9B67KQ921031;47114                                                                                                                                                                                
0ACBT0F40RL256867;32577                                                                                                                                                                                
0ACHZ8H00CJ415292;45537                                                                                                                                                                                
0ACPJ2T46VY034219;38446                                                                                                                                                                                
0ADLI8R73ND962308;37665                                                                                                                                                                                
0ADOX3Q39YG719850;15802                                                                                                                                                                                
0ADPL7R57PN710419;21776                                                                                                                                                                                
0ADQD5Y63QE820798;49411                                                                                                                                                                                
0ADSF4H23VM133614;23564                                                                                                                                                                                
0ADYE7H83UM524473;20368                                                                                                                                                                                
0ADYY0C85YG386689;24573                                                                                                                                                                                
0ADZW9D27ID629827;9091                                                                                                                                                                                 
0AEBW9H95UQ419801;24368                                                                                                                                                                                
0AEPR4C62FE068354;29760                                                                                                                                                                                
0AEVS7H83JG291921;12941                                                                                                                                                                                
0AFGS6Q95XF395599;45004                                                                                                                                                                                
0AFIB2Z78HV323257;39806                                                                                                                                                                                
0AFRS9S48JZ167130;40974                                                                                                                                                                                
0AFTA6C50JG593126;30819                                                                                                                                                                                
0AFZO8L41MJ017229;39445                                                                                                                                                                                
0AGAS4P06LH135124;23769                                                                                                                                                                                
0AGCJ5K02BA709092;16550                                                                                                                                                                                
0AGDG7M59RU668056;15238                                                                                                                                                                                
0AGFJ3F61YP312973;36900                                                                                                                                                                                
0AGFM2L58WQ859120;8456                                                                                                                                                                                 
0AGHV3E99WJ371445;39528                                                                                                                                                                                
0AGIE5C46XI405831;39228                                                                                                                                                                                
0AGIY7B72JM882596;5467                                                                                                                                                                                 
0AGJH9U40LQ381100;44627                                                                                                                                                                                
0AGPI3M44EL322021;2108                                                                                                                                                                                 
0AHFI6Y48VD266444;48813                                                                                                                                                                                
0AHGC1I73WL123481;22401                                                                                                                                                                                
0AHGX3E51VZ049159;12858                                                                                                                                                                                
0AHIH0I11ZJ559858;2496                                                                                                                                                                                 
0AHPS6S59EZ055107;32513                                                                                                                                                                                
0AHSH8V35DO997869;35452                                                                                                                                                                                
0AHWC9Z27BH708978;16327                                                                                                                                                                                
0AHZT7H28FN153109;3804                                                                                                                                                                                 
0AIAZ0W11GE817489;34853                                                                                                                                                                                
0AIHP7Z18VF824638;32036                                                                                                                                                                                
0AIIX2N15LS551104;43683                                                                                                                                                                                
0AIJY8P55EY961013;47054                                                                                                                                                                                
0AIKC6L28AO288831;37985                                                                                                                                                                                
0AIKJ0X85SH801034;49700                                                                                                                                                                                
0AIQX9O58IG320102;36414                                                                                                                                                                                
0AJHP0L65AH542633;18547                                                                                                                                                                                
