id;name;brand                                                                                                                                                                                          
1;W-3;D                                                                                                                                                                                                
2;H-2;R                                                                                                                                                                                                
3;C-7;R                                                                                                                                                                                                
4;M-6;H                                                                                                                                                                                                
5;I-3;H                                                                                                                                                                                                
6;H-6;K                                                                                                                                                                                                
7;A-6;T                                                                                                                                                                                                
8;Q-5;Z                                                                                                                                                                                                
9;N-2;H                                                                                                                                                                                                
10;N-9;D                                                                                                                                                                                               
11;A-5;S                                                                                                                                                                                               
12;F-2;C                                                                                                                                                                                               
13;X-6;Z                                                                                                                                                                                               
14;T-8;E                                                                                                                                                                                               
15;U-7;Y                                                                                                                                                                                               
16;R-2;Z                                                                                                                                                                                               
17;A-7;E                                                                                                                                                                                               
18;D-3;G                                                                                                                                                                                               
19;S-5;A                                                                                                                                                                                               
20;P-4;X                                                                                                                                                                                               
21;T-9;T                                                                                                                                                                                               
22;U-5;R                                                                                                                                                                                               
23;Y-8;V                                                                                                                                                                                               
24;C-8;C                                                                                                                                                                                               
25;L-4;T                                                                                                                                                                                               
26;Y-7;N                                                                                                                                                                                               
27;S-5;R                                                                                                                                                                                               
28;E-7;V                                                                                                                                                                                               
29;K-7;N                                                                                                                                                                                               
30;Y-9;T                                                                                                                                                                                               
31;G-4;A                                                                                                                                                                                               
32;D-9;T                                                                                                                                                                                               
33;V-3;S                                                                                                                                                                                               
34;F-2;J                                                                                                                                                                                               
35;A-2;U                                                                                                                                                                                               
36;S-4;V                                                                                                                                                                                               
37;J-8;B                                                                                                                                                                                               
38;N-6;N                                                                                                                                                                                               
39;C-4;U                                                                                                                                                                                               
40;A-2;B                                                                                                                                                                                               
41;A-8;O                                                                                                                                                                                               
42;O-7;V                                                                                                                                                                                               
43;X-3;W                                                                                                                                                                                               
44;S-4;M                                                                                                                                                                                               
45;F-7;X                                                                                                                                                                                               
46;H-4;A                                                                                                                                                                                               
47;F-9;A                                                                                                                                                                                               
48;E-6;I                                                                                                                                                                                               
49;E-7;X                                                                                                                                                                                               
50;R-3;C                                                                                                                                                                                               
51;Y-8;D                                                                                                                                                                                               
52;C-7;U                                                                                                                                                                                               
53;U-6;K                                                                                                                                                                                               
54;G-5;N                                                                                                                                                                                               
55;C-6;L                                                                                                                                                                                               
56;D-4;Y                                                                                                                                                                                               
57;N-4;C                                                                                                                                                                                               
58;C-9;P                                                                                                                                                                                               
59;U-3;V                                                                                                                                                                                               
60;T-3;K                                                                                                                                                                                               
61;X-7;W                                                                                                                                                                                               
