sales_number;car_vin;cost;sales_date                                                                                                                                                                   
1#1;8TBKH5D07EJ618595;6121.12;2020-10-25                                                                                                                                                               
1#2;1RKOR4I99VE737453;6302.45;2023-08-26                                                                                                                                                               
1#3;7ABRH2Y32OK967100;5291.12;2023-09-10                                                                                                                                                               
1#4;9HDWJ5F64CL104451;7010.59;2023-09-28                                                                                                                                                               
1#5;6RSST9I73FE442564;7297.98;2020-04-26                                                                                                                                                               
1#6;9TWIC1D52HL293501;3930.12;2022-06-12                                                                                                                                                               
1#7;7GZJG8B08PV384456;6095.97;2020-09-01                                                                                                                                                               
1#8;3FPYG2B46TB209125;2748.77;2022-02-26                                                                                                                                                               
1#9;9EYZJ0R67JW408859;5756.25;2023-08-05                                                                                                                                                               
1#10;2ZWTD1J26GP074284;4448.58;2022-07-28                                                                                                                                                              
1#11;9JPWS3Z98AM122657;6585.81;2024-08-23                                                                                                                                                              
1#12;7IXEX6F59KW751610;4185.46;2023-02-03                                                                                                                                                              
1#13;0TLIQ2F82CB200887;5639.82;2023-09-02                                                                                                                                                              
1#14;9HOKK1U40NE132384;6753.44;2022-07-25                                                                                                                                                              
1#15;3CGQL5F35VR575748;2990.54;2024-08-18                                                                                                                                                              
1#16;9SIVE1K22XJ232541;7061.47;2023-12-17                                                                                                                                                              
1#17;9BVWY8G20QC253675;3725.11;2020-09-12                                                                                                                                                              
1#18;8DUCH4X14RM427644;3980.59;2023-11-20                                                                                                                                                              
1#19;7PRXF0C69AX574083;3591.79;2024-05-21                                                                                                                                                              
1#20;8UHNT7N74TQ870217;4842.76;2022-06-16                                                                                                                                                              
1#21;5HUTC1W93MB212776;5721.27;2020-07-07                                                                                                                                                              
1#22;4VBQQ5M20XO997196;4023.73;2022-01-08                                                                                                                                                              
1#23;5VBMR8Q87AC746671;5803.87;2024-04-15                                                                                                                                                              
1#24;9MVAD8U87ZP146971;3919.93;2022-02-23                                                                                                                                                              
1#25;0JVIR4T72QO137602;5634.83;2025-01-08                                                                                                                                                              
1#26;0ZPGZ2K14QC332525;5674.04;2023-08-21                                                                                                                                                              
1#27;6ALVI5X54LA825895;6389.04;2022-11-29                                                                                                                                                              
1#28;1ZLML7T98LQ208302;3035.3;2023-08-12                                                                                                                                                               
1#29;0IMDK2U21NN616814;4160.34;2020-08-03                                                                                                                                                              
1#30;0SNUL5N11MH201853;3420.27;2022-04-25                                                                                                                                                              
1#31;2UCXP6Q25OM246959;3724.73;2024-08-14                                                                                                                                                              
1#32;0NQEJ0U71QR760544;4384.37;2021-11-22                                                                                                                                                              
1#33;4QTQD4F17HV742987;3185.51;2024-04-12                                                                                                                                                              
1#34;3HRVN4O96VH236955;4737.51;2020-12-30                                                                                                                                                              
1#35;7OKXN8Y66DX420926;4263.88;2020-07-16                                                                                                                                                              
1#36;6ZNNF6R28ZB728090;4056.87;2022-06-23                                                                                                                                                              
1#37;3UHWT9B05WP089486;3282.89;2021-06-22                                                                                                                                                              
1#38;4YUAK3M93JQ444739;4522.62;2020-10-11                                                                                                                                                              
1#39;3WBZM3C38KD112247;4884.27;2022-10-06                                                                                                                                                              
1#40;5LENS3G13NB896514;5867.68;2022-10-10                                                                                                                                                              
1#41;2AKUY5X26RU544430;5677.93;2021-11-14                                                                                                                                                              
1#42;2DGFT1G82YV825964;4263.62;2021-08-14                                                                                                                                                              
1#43;8MZZW7K21IB851780;4503.05;2021-06-20                                                                                                                                                              
1#44;3WAAQ3U81TE477736;3745.62;2023-12-25                                                                                                                                                              
1#45;1JUIH3B38SK092875;4156.21;2023-03-04                                                                                                                                                              
1#46;0TSSO5Q60OR706387;4880.0;2023-06-09                                                                                                                                                               
1#47;4BYYD7A98BS250595;4119.62;2021-03-30                                                                                                                                                              
1#48;1UYMY3G37AW479080;4219.66;2021-02-06                                                                                                                                                              
1#49;2AJSB5V22QZ992396;5085.89;2022-07-31                                                                                                                                                              
1#50;9JALP0P65EF037119;6015.42;2022-07-24                                                                                                                                                              
1#51;9LDGP6R66UQ380417;6091.96;2020-06-30                                                                                                                                                              
1#52;5BGXG9M68FB767226;3439.53;2022-12-09                                                                                                                                                              
1#53;4MEDQ7S09IB395058;2392.75;2020-12-13                                                                                                                                                              
1#54;2ZCTG2U36JL880193;3839.84;2022-12-07                                                                                                                                                              
1#55;6POSZ9F70DU735809;2055.76;2024-03-03                                                                                                                                                              
1#56;9QZXW0G15FZ252131;3541.51;2022-10-12                                                                                                                                                              
1#57;0JQXT7N33QJ748698;6764.89;2022-09-30                                                                                                                                                              
1#58;6CPMY4Z84ZB149674;3505.93;2022-09-19                                                                                                                                                              
1#59;2QAGL6D00UL278047;5702.22;2022-10-31                                                                                                                                                              
1#60;9RDKY1V96WL813349;6733.14;2023-02-17                                                                                                                                                              
1#61;0ATNO3K88CJ549845;4077.24;2022-05-23                                                                                                                                                              
1#62;0CCKE3M25MW290305;5964.96;2023-07-18                                                                                                                                                              
1#63;4FKVK4M32YN987431;4173.8;2020-06-22                                                                                                                                                               
1#64;8OXRV2J90TW696830;2876.36;2023-11-15                                                                                                                                                              
1#65;4QWSL2A92LR567153;2268.0;2022-09-28                                                                                                                                                               
1#66;2WWNV6Z20DB908617;3138.32;2021-10-31                                                                                                                                                              
1#67;2OVKO2F17EA789788;5456.23;2021-10-11                                                                                                                                                              
1#68;7MJZJ9C39UO421931;2853.42;2022-11-26                                                                                                                                                              
1#69;0UAMZ3W86ZZ821830;6956.02;2021-12-06                                                                                                                                                              
1#70;7ZVIK1J50FN534837;5431.35;2023-04-05                                                                                                                                                              
1#71;1AALW2N92BZ793323;3399.1;2023-02-15                                                                                                                                                               
1#72;2PQNQ7J21CW064177;7283.35;2021-12-25                                                                                                                                                              
1#73;0WUVB6I20QL162935;4106.56;2021-05-26                                                                                                                                                              
1#74;3ARYS4L44DT636708;6071.33;2021-06-01                                                                                                                                                              
1#75;2GAJF6E24KE592759;6564.68;2024-07-01                                                                                                                                                              
1#76;8WFXI3E28SJ786506;3390.21;2023-08-04                                                                                                                                                              
1#77;5OIME3Y68ND786764;4797.78;2024-08-15                                                                                                                                                              
1#78;5NJXG9I07QM207480;2583.17;2023-06-13                                                                                                                                                              
1#79;6KSDY1R28SO583405;4910.38;2021-09-09                                                                                                                                                              
1#80;1HVZP2M45XX667945;4279.35;2020-06-23                                                                                                                                                              
1#81;1XKPY2U33SB715934;3930.78;2020-07-02                                                                                                                                                              
1#82;1IFQK2Z21LF342442;4171.85;2023-06-05                                                                                                                                                              
1#83;5WKEN7I02HP032262;4133.42;2023-06-15                                                                                                                                                              
1#84;2SFDF1P97NW805101;3464.14;2022-05-16                                                                                                                                                              
1#85;2SRGE8I61QJ190288;4115.59;2021-10-19                                                                                                                                                              
1#86;0XEOH6Q63TC200352;2929.08;2021-06-14                                                                                                                                                              
1#87;5JWJD6I59CO367728;3240.69;2022-02-03                                                                                                                                                              
1#88;1PCAZ2Z68YN938299;5016.25;2020-10-27                                                                                                                                                              
1#89;2HLAP3A71MX583329;3757.1;2022-06-16                                                                                                                                                               
1#90;0LPYL5Z83ID628406;3488.36;2022-05-11                                                                                                                                                              
1#91;4BUPF8B21RO863328;6444.94;2020-08-29                                                                                                                                                              
1#92;1NSZJ1W29PW580921;4570.28;2021-10-21                                                                                                                                                              
1#93;4CDPD3V27TQ911789;6785.2;2024-01-23                                                                                                                                                               
1#94;3GUDH9G58HX813129;5701.28;2022-02-17                                                                                                                                                              
1#95;1HLTH4D12RA220765;3364.34;2021-06-20                                                                                                                                                              
1#96;0DTYB3X82DD407608;4431.29;2024-01-07                                                                                                                                                              
1#97;0TBWO4B57OD504451;5189.88;2024-10-10                                                                                                                                                              
1#98;5XWEL8R57TK382736;4860.89;2025-01-07                                                                                                                                                              
1#99;6XBWI2D16MF786498;4084.27;2020-11-22                                                                                                                                                              
1#100;9PNXF4Z02IW570171;4502.13;2024-09-16                                                                                                                                                             
1#101;7LJAO1Q31KY103747;3789.21;2023-04-20                                                                                                                                                             
1#102;2BKBB2V89RH282832;4366.58;2022-09-13                                                                                                                                                             
1#103;0ERBS8G85RS812188;2481.77;2022-02-02                                                                                                                                                             
1#104;5FFBL0Y51JG201132;4478.18;2023-07-07                                                                                                                                                             
1#105;2DJMQ4R91YP712819;5098.37;2022-01-26                                                                                                                                                             
1#106;3UTUX5S97JL216305;4729.23;2023-03-13                                                                                                                                                             
1#107;9XENT8C14TK589234;4114.73;2023-11-12                                                                                                                                                             
1#108;3IQGW0E48QU254824;6828.44;2021-12-09                                                                                                                                                             
1#109;1GXDO2S35FO355032;6857.27;2021-11-20                                                                                                                                                             
1#110;7DJXG2A58VF939019;3197.01;2024-03-20                                                                                                                                                             
1#111;2EGJZ6A91PM293349;6940.38;2024-10-07                                                                                                                                                             
1#112;3UXLF0D68KY485417;5010.9;2023-07-18                                                                                                                                                              
1#113;6UZGT9C60UD435237;3813.31;2020-10-11                                                                                                                                                             
1#114;0VLUA5P40RL634594;3145.87;2022-12-26                                                                                                                                                             
1#115;7WYTU8K23IT734639;5045.69;2020-09-05                                                                                                                                                             
1#116;1LCDK7R06SW842005;4450.23;2020-05-07                                                                                                                                                             
1#117;9GZBW0F52XN461124;4133.87;2024-09-06                                                                                                                                                             
1#118;1UDGA9P88PM065340;2574.16;2024-07-09                                                                                                                                                             
1#119;5IUZH4G43NP060246;6458.57;2024-07-21                                                                                                                                                             
1#120;1REQD8S17KR866129;3573.77;2021-08-01                                                                                                                                                             
1#121;6BNTF0P84EQ881452;4639.15;2024-08-20                                                                                                                                                             
1#122;2OKEC9R15YB068069;5048.58;2020-05-16                                                                                                                                                             
1#123;2PNMX9A70TL524538;4015.82;2020-07-17                                                                                                                                                             
1#124;4MLAP7F12SL926506;3548.8;2023-07-02                                                                                                                                                              
1#125;2CFRP5N73RR627539;3358.87;2024-11-20                                                                                                                                                             
1#126;6VCLD0Q59KG351247;4985.49;2022-09-12                                                                                                                                                             
1#127;2LUVN0Y17BY807247;5964.64;2024-08-20                                                                                                                                                             
1#128;2NVQP8H60SR382356;6635.02;2020-05-30                                                                                                                                                             
1#129;0FJZN3D71CF661005;5356.59;2023-05-06                                                                                                                                                             
1#130;6PVWM4P20UG527402;3500.14;2023-02-14                                                                                                                                                             
1#131;6YZHW0L39TZ104744;4999.29;2023-06-05                                                                                                                                                             
1#132;6BWRD8L31TU905280;4289.16;2022-06-11                                                                                                                                                             
1#133;3PDDX3L41XB332809;3454.57;2023-09-22                                                                                                                                                             
1#134;3PJBL8L85TB313413;4566.21;2022-01-29                                                                                                                                                             
1#135;1AJND1A80AG663915;4561.31;2022-08-19                                                                                                                                                             
1#136;7NNIH1S99NS818336;4860.31;2023-04-21                                                                                                                                                             
1#137;0WCHP1F46YN433174;3464.94;2024-06-13                                                                                                                                                             
1#138;7IDVM1B82AW996407;3880.53;2021-02-08                                                                                                                                                             
1#139;9IPPU5J73ZY125306;5682.12;2024-08-03                                                                                                                                                             
1#140;0VJIW7B22ZW034053;4160.8;2020-06-27                                                                                                                                                              
1#141;2JWYG0A42PA456694;3293.39;2022-11-28                                                                                                                                                             
1#142;0ZGAS0X82GQ713950;3412.76;2021-06-18                                                                                                                                                             
1#143;9XJFF3C54OQ189380;3170.73;2021-09-18                                                                                                                                                             
1#144;9UPFG2E51RT469436;5939.46;2024-05-04                                                                                                                                                             
1#145;1EBSV3P31YG111269;3684.96;2020-06-08                                                                                                                                                             
1#146;7XRWH4M13FP721045;2285.99;2024-03-18                                                                                                                                                             
1#147;0YMBC0X62XI738405;5540.7;2020-06-16                                                                                                                                                              
1#148;6VXKA9U41UJ246725;6219.7;2023-04-23                                                                                                                                                              
1#149;6RKCT8Z69YO723263;2257.99;2024-09-13                                                                                                                                                             
1#150;7CKNK1C74DP563262;6562.01;2021-05-01                                                                                                                                                             
1#151;9TLPW8R07AM416397;3401.82;2020-05-20                                                                                                                                                             
1#152;9EEDS6B74ZM151787;3018.03;2024-04-29                                                                                                                                                             
1#153;7VEWM1L32ZO074546;3228.44;2020-12-29                                                                                                                                                             
1#154;0BDIY4I15LY192766;6679.08;2021-12-31                                                                                                                                                             
1#155;5IRDC6Q63NO406100;3595.01;2024-05-03                                                                                                                                                             
1#156;4BDIX6S13UU254666;3155.8;2020-02-28                                                                                                                                                              
1#157;4KWMX8J98QV609268;6025.32;2022-04-24                                                                                                                                                             
1#158;5UERV2C45KJ843744;5934.84;2022-03-11                                                                                                                                                             
1#159;1AXFH9R45BG843448;3159.78;2021-05-16                                                                                                                                                             
1#160;8WQFA0D27GG665292;3528.15;2023-10-22                                                                                                                                                             
1#161;6TZIS3D20PM385818;4621.28;2022-11-12                                                                                                                                                             
1#162;5VDSH8B53GM156763;2945.33;2021-05-20                                                                                                                                                             
1#163;4MVKD1G97QR899001;5102.86;2023-01-04                                                                                                                                                             
1#164;4XSHS1I29QI145618;5165.56;2020-07-04                                                                                                                                                             
1#165;7ILDA3L81RC073327;3707.98;2022-01-18                                                                                                                                                             
1#166;8IGAF7X08FX778522;2106.93;2020-12-10                                                                                                                                                             
1#167;3SFYK9S91PH156179;5528.14;2022-04-18                                                                                                                                                             
1#168;7HQEX4Q25MW247687;4917.57;2022-02-15                                                                                                                                                             
1#169;7HFAK2I26KG675128;2275.12;2022-06-20                                                                                                                                                             
1#170;9RJPV3T97ES763617;5247.85;2020-08-15                                                                                                                                                             
1#171;3PGIT8O53GW790985;7035.34;2020-09-13                                                                                                                                                             
1#172;5CCVB9U33KU491775;2963.95;2022-09-20                                                                                                                                                             
1#173;0SIQW5Q21VG684067;3726.29;2022-10-18                                                                                                                                                             
1#174;1NWUI2A99AI926662;4888.88;2024-08-25                                                                                                                                                             
1#175;2SJOH4J02GZ417030;5219.88;2020-11-02                                                                                                                                                             
1#176;3SWXH7L49WH749721;4697.02;2024-07-17                                                                                                                                                             
1#177;7NUCI7V22YU782682;6369.91;2021-11-08                                                                                                                                                             
1#178;7KTFY3P15PR220369;3582.8;2023-09-06                                                                                                                                                              
1#179;2DOFO9M78VK079804;5873.44;2021-07-06                                                                                                                                                             
1#180;6VJTI5R20XA125862;4494.3;2023-06-17                                                                                                                                                              
1#181;3AUJU4R64XL978986;5804.78;2020-07-06                                                                                                                                                             
1#182;5MIQK5D99MK307226;3844.19;2020-07-06                                                                                                                                                             
1#183;9XBGE9P09IX303065;4406.65;2024-11-24                                                                                                                                                             
1#184;9CIVN1S24UN131731;4327.95;2024-05-20                                                                                                                                                             
1#185;3KKZS6C46NG481859;2602.88;2023-05-27                                                                                                                                                             
1#186;5SMFL6A92PT599034;7339.08;2023-08-23                                                                                                                                                             
1#187;5WFAP3Y75YB517699;4263.21;2023-08-25                                                                                                                                                             
1#188;4CHBD9G59FV749808;4714.26;2024-10-01                                                                                                                                                             
1#189;0GHNX3V41WR834198;3737.99;2024-02-17                                                                                                                                                             
1#190;1CCVN8K71QZ634298;5832.57;2024-09-20                                                                                                                                                             
1#191;9DCMD3I12WQ694911;5811.47;2024-01-12                                                                                                                                                             
1#192;1IQRY3R93PY864471;6653.94;2022-12-16                                                                                                                                                             
1#193;4HUWO9E19KH032315;2595.12;2024-03-02                                                                                                                                                             
1#194;5ARJO5D52CH602300;3029.96;2024-07-25                                                                                                                                                             
1#195;6NPBW0J00EN359319;4103.09;2021-06-01                                                                                                                                                             
1#196;3HHRW9H86BO251750;4368.89;2022-11-29                                                                                                                                                             
1#197;1PYZC4T05YM565163;4556.85;2022-10-31                                                                                                                                                             
1#198;2QMUZ6H08RI499743;5876.85;2024-01-26                                                                                                                                                             
1#199;8DKIB6J62EU178122;5828.52;2021-06-06                                                                                                                                                             
1#200;1EZZJ4M62NU478005;3103.08;2022-03-29                                                                                                                                                             
1#201;5TDMB3T99BM017296;4043.18;2023-08-12                                                                                                                                                             
1#202;9KCEE1H38MY211837;4611.14;2021-06-17                                                                                                                                                             
1#203;8DOLL0I62VO401968;5683.13;2024-04-29                                                                                                                                                             
1#204;5RJMR5E97KB777240;4955.54;2024-01-02                                                                                                                                                             
1#205;2TXUM5Q53QQ483404;4981.23;2020-09-18                                                                                                                                                             
1#206;5LIKY4W49JT979070;5920.72;2021-07-22                                                                                                                                                             
1#207;2IMKC4Z96AM484637;4256.99;2023-02-16                                                                                                                                                             
1#208;2DPLJ7B84UQ760279;4626.27;2024-03-26                                                                                                                                                             
1#209;4KTXX7S54WI253827;4299.38;2021-03-13                                                                                                                                                             
1#210;6UGAC3S24TV219125;6272.16;2021-01-16                                                                                                                                                             
1#211;6AQJF4V01UW499501;4648.58;2020-09-03                                                                                                                                                             
1#212;9QONI2L86JP055808;4724.27;2022-11-28                                                                                                                                                             
1#213;2UDYF2G63UF578540;3846.86;2021-09-16                                                                                                                                                             
1#214;2QVNS6L42LK550721;4502.31;2021-07-25                                                                                                                                                             
1#215;3KFDU7M07XO159607;4273.6;2023-12-10                                                                                                                                                              
1#216;7MOVZ5F81LC851450;3663.66;2020-10-17                                                                                                                                                             
1#217;8EPPJ7A69FP687725;4548.41;2021-09-22                                                                                                                                                             
1#218;4REWH4I20GP468484;6237.76;2023-07-25                                                                                                                                                             
1#219;2LNDO3X23VB679615;5847.94;2023-02-25                                                                                                                                                             
1#220;6VSQG5D18GL055833;4273.77;2022-07-19                                                                                                                                                             
1#221;5SRNY9C79TF653509;3724.11;2023-08-28                                                                                                                                                             
1#222;1ZFNA1V44FJ528189;4689.32;2021-11-28                                                                                                                                                             
1#223;8SYPC3L64OQ193627;3936.27;2023-01-09                                                                                                                                                             
1#224;8ZFUZ8I76ZA529701;5547.95;2021-02-02                                                                                                                                                             
