id;name;brand                                                                                                                                                                                          
1;C-6;F                                                                                                                                                                                                
2;I-4;M                                                                                                                                                                                                
3;X-8;U                                                                                                                                                                                                
4;Y-4;V                                                                                                                                                                                                
5;T-3;A                                                                                                                                                                                                
6;O-7;J                                                                                                                                                                                                
7;Q-5;R                                                                                                                                                                                                
8;A-2;Z                                                                                                                                                                                                
9;Y-4;B                                                                                                                                                                                                
10;Q-3;J                                                                                                                                                                                               
11;Y-6;Q                                                                                                                                                                                               
12;V-4;V                                                                                                                                                                                               
13;K-8;A                                                                                                                                                                                               
14;C-6;K                                                                                                                                                                                               
15;M-3;F                                                                                                                                                                                               
16;G-4;Z                                                                                                                                                                                               
17;E-5;V                                                                                                                                                                                               
18;T-7;L                                                                                                                                                                                               
19;D-7;H                                                                                                                                                                                               
20;J-5;Y                                                                                                                                                                                               
21;Q-5;N                                                                                                                                                                                               
22;D-9;V                                                                                                                                                                                               
23;U-4;A                                                                                                                                                                                               
24;J-3;B                                                                                                                                                                                               
25;E-4;O                                                                                                                                                                                               
26;Y-3;H                                                                                                                                                                                               
27;K-8;J                                                                                                                                                                                               
28;O-6;K                                                                                                                                                                                               
29;U-4;G                                                                                                                                                                                               
30;H-2;H                                                                                                                                                                                               
31;L-7;K                                                                                                                                                                                               
32;A-2;B                                                                                                                                                                                               
33;D-2;Q                                                                                                                                                                                               
34;D-6;K                                                                                                                                                                                               
35;L-9;A                                                                                                                                                                                               
36;J-3;Y                                                                                                                                                                                               
37;S-9;Y                                                                                                                                                                                               
38;X-9;S                                                                                                                                                                                               
39;W-9;G                                                                                                                                                                                               
40;D-4;U                                                                                                                                                                                               
41;F-5;J                                                                                                                                                                                               
42;J-5;T                                                                                                                                                                                               
43;T-9;K                                                                                                                                                                                               
44;E-5;M                                                                                                                                                                                               
45;D-4;T                                                                                                                                                                                               
46;Z-6;O                                                                                                                                                                                               
47;I-4;Z                                                                                                                                                                                               
48;V-7;E                                                                                                                                                                                               
49;S-6;X                                                                                                                                                                                               
50;E-3;Y                                                                                                                                                                                               
51;N-7;Q                                                                                                                                                                                               
52;E-8;Z                                                                                                                                                                                               
53;L-8;I                                                                                                                                                                                               
54;A-8;T                                                                                                                                                                                               
55;I-2;J                                                                                                                                                                                               
56;G-2;M                                                                                                                                                                                               
57;K-8;N                                                                                                                                                                                               
58;D-8;J                                                                                                                                                                                               
59;Q-5;C                                                                                                                                                                                               
60;O-8;U                                                                                                                                                                                               
61;J-5;H                                                                                                                                                                                               
62;U-5;W                                                                                                                                                                                               
63;F-5;N                                                                                                                                                                                               
64;Z-2;W                                                                                                                                                                                               
65;A-9;M                                                                                                                                                                                               
66;J-4;U                                                                                                                                                                                               
67;G-8;G                                                                                                                                                                                               
68;B-7;H                                                                                                                                                                                               
69;B-6;T                                                                                                                                                                                               
70;N-3;B                                                                                                                                                                                               
71;B-3;P                                                                                                                                                                                               
72;G-5;E                                                                                                                                                                                               
73;N-7;L                                                                                                                                                                                               
74;R-9;J                                                                                                                                                                                               
75;J-4;N                                                                                                                                                                                               
76;X-5;R                                                                                                                                                                                               
77;G-7;F                                                                                                                                                                                               
78;O-8;R                                                                                                                                                                                               
79;I-6;I                                                                                                                                                                                               
80;A-4;B                                                                                                                                                                                               
81;R-3;C                                                                                                                                                                                               
82;P-5;K                                                                                                                                                                                               
83;Q-9;O                                                                                                                                                                                               
84;H-6;Z                                                                                                                                                                                               
85;C-5;E                                                                                                                                                                                               
86;G-4;H                                                                                                                                                                                               
88;G-4;J                                                                                                                                                                                               
89;B-6;D                                                                                                                                                                                               
90;H-9;Q                                                                                                                                                                                               
91;Y-7;W                                                                                                                                                                                               
92;L-9;S                                                                                                                                                                                               
93;V-3;F                                                                                                                                                                                               
94;X-3;B                                                                                                                                                                                               
95;C-9;S                                                                                                                                                                                               
96;V-2;Y                                                                                                                                                                                               
97;Q-4;B                                                                                                                                                                                               
98;E-9;C                                                                                                                                                                                               
99;C-9;N                                                                                                                                                                                               
100;U-5;T                                                                                                                                                                                              
101;P-5;Z                                                                                                                                                                                              
102;L-8;J                                                                                                                                                                                              
103;S-4;Z                                                                                                                                                                                              
104;E-6;J                                                                                                                                                                                              
105;G-2;I                                                                                                                                                                                              
106;L-8;W                                                                                                                                                                                              
107;C-9;I                                                                                                                                                                                              
108;W-9;P                                                                                                                                                                                              
109;M-7;V                                                                                                                                                                                              
110;K-9;Q                                                                                                                                                                                              
111;L-2;O                                                                                                                                                                                              
112;X-6;S                                                                                                                                                                                              
113;P-2;Q                                                                                                                                                                                              
114;U-5;M                                                                                                                                                                                              
115;G-7;U                                                                                                                                                                                              
116;L-9;E                                                                                                                                                                                              
117;V-9;A                                                                                                                                                                                              
118;M-8;Z                                                                                                                                                                                              
119;M-5;A                                                                                                                                                                                              
120;M-8;V                                                                                                                                                                                              
121;N-4;S                                                                                                                                                                                              
122;V-3;A                                                                                                                                                                                              
123;N-2;Q                                                                                                                                                                                              
124;A-7;I                                                                                                                                                                                              
125;K-2;J                                                                                                                                                                                              
126;J-7;A                                                                                                                                                                                              
127;Y-8;T                                                                                                                                                                                              
128;C-6;W                                                                                                                                                                                              
129;U-4;X                                                                                                                                                                                              
130;V-4;E                                                                                                                                                                                              
131;I-4;O                                                                                                                                                                                              
